git_commit,sequence_length,rows,input_family,dtype,scale,max_absolute_error,max_relative_error,max_row_sum_error,masked_positions_exactly_zero,contains_nan,contains_inf,shape_correct,dtype_correct,device_correct,pass_fail,rtol,atol,gpu_name,compute_capability,timestamp
ca87722a00ebf585cd788c67949e7c0b32dca788,511,1022,normal,float32,0.125,2.9802322387695312e-08,3.0065734790696297e-07,1.7881393432617188e-07,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.718922+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,511,1022,random_x10,float32,0.125,1.1920928955078125e-07,3.0101611514510296e-07,1.1920928955078125e-07,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.721833+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,511,1022,random_x100,float32,0.125,2.384185791015625e-07,3.5540304565984115e-07,2.384185791015625e-07,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.724913+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,511,1022,random_x1000,float32,0.125,1.1920928955078125e-07,2.1302325592387206e-07,1.1920928955078125e-07,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.727886+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,511,1022,zeros,float32,0.125,0.0,0.0,1.1920928955078125e-07,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.730452+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,511,1022,equal,float32,0.125,0.0,0.0,1.1920928955078125e-07,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.732766+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,511,1022,dominant_positive,float32,0.125,0.0,0.0,0.0,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.735109+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,511,1022,dominant_negative,float32,0.125,1.4901161193847656e-08,2.87439263502165e-07,1.1920928955078125e-07,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.737506+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,768,1536,normal,float32,0.125,1.4901161193847656e-08,3.362868596923363e-07,2.384185791015625e-07,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.741046+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,768,1536,random_x10,float32,0.125,1.1920928955078125e-07,3.4774899404510506e-07,1.7881393432617188e-07,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.744217+00:00
