implementation,git_commit,batch,heads,sequence_length,head_dimension,dtype,warmups,iterations,sample_index,latency_us,gpu_name,compute_capability,pytorch_version,cuda_version,timestamp
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,48,192.54399836063385,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,49,227.4560034275055,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,50,196.6720074415207,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,51,206.81600272655487,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,52,199.35999810695648,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,53,280.67201375961304,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,54,214.78399634361267,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,55,207.32800662517548,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,56,206.59199357032776,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,57,232.44799673557281,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,58,219.16800737380981,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,59,194.59199905395508,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,60,190.43199717998505,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,61,192.7040070295334,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,62,217.056006193161,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,63,204.22400534152985,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,64,184.28799510002136,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,65,184.54399704933167,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,66,294.3679988384247,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,67,216.22399985790253,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,68,190.7840073108673,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,69,190.49599766731262,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,70,255.61600923538208,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,71,208.92800390720367,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,72,221.21599316596985,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,73,203.48800718784332,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,74,184.4480037689209,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,75,198.65599274635315,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,76,204.83200252056122,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,77,196.1279958486557,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,78,188.38399648666382,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,79,210.59200167655945,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,80,198.68800044059753,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,81,190.33600389957428,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,82,187.58399784564972,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,83,186.88000738620758,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,84,198.2399970293045,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,85,201.82399451732635,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,86,188.4160041809082,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,87,186.36800348758698,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,88,206.91199600696564,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,89,190.72000682353973,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,90,192.54399836063385,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,91,188.4479969739914,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,92,184.32000279426575,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,93,210.9760046005249,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,94,203.80799472332,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,95,190.5599981546402,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,96,184.83200669288635,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,97,259.13599133491516,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,98,211.07199788093567,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,99,211.29600703716278,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
custom_softmax_attention,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,0,151.58399939537048,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.935642+00:00
custom_softmax_attention,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,1,133.12000036239624,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.935642+00:00
custom_softmax_attention,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,2,124.95999783277512,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.935642+00:00
custom_softmax_attention,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,3,139.5840048789978,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.935642+00:00
custom_softmax_attention,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,4,128.1919926404953,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.935642+00:00
custom_softmax_attention,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,5,210.1760059595108,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.935642+00:00
custom_softmax_attention,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,6,141.31200313568115,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.935642+00:00
custom_softmax_attention,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,7,151.07199549674988,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.935642+00:00
custom_softmax_attention,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,8,135.6160044670105,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.935642+00:00
custom_softmax_attention,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,9,122.8799968957901,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.935642+00:00
custom_softmax_attention,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,10,122.8799968957901,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.935642+00:00
custom_softmax_attention,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,11,142.04800128936768,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.935642+00:00
custom_softmax_attention,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,12,125.82400441169739,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.935642+00:00
custom_softmax_attention,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,13,137.2160017490387,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.935642+00:00
custom_softmax_attention,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,14,124.35200065374374,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.935642+00:00
custom_softmax_attention,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,15,122.75200337171555,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.935642+00:00
custom_softmax_attention,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,16,122.8799968957901,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.935642+00:00
custom_softmax_attention,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,17,122.23999947309494,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.935642+00:00
custom_softmax_attention,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,18,134.75200533866882,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.935642+00:00
custom_softmax_attention,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,19,123.9359974861145,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.935642+00:00
custom_softmax_attention,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,20,128.9920061826706,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.935642+00:00
custom_softmax_attention,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,21,121.72800302505493,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.935642+00:00
custom_softmax_attention,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,22,121.40800058841705,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.935642+00:00
custom_softmax_attention,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,23,122.78400361537933,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.935642+00:00
custom_softmax_attention,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,24,121.0239976644516,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.935642+00:00
